,Quantile_auto_st_ff,Quantile_auto_st,Quantile_cons_st_ff,Quantile_cons_st,Quantile_auto_tt_ff,Quantile_auto_tt,Quantile_cons_tt_ff,Quantile_cons_tt,gmm_auto_st_ff,gmm_auto_st,gmm_cons_st_ff,gmm_cons_st,gmm_auto_tt_ff,gmm_auto_tt,gmm_cons_tt_ff,gmm_cons_tt,gmm_threshold_st_ff,gmm_threshold_st,gmm_threshold_tt_ff,gmm_threshold_tt,KBI,PUB,MeanDur_L,MeanDur_R,MeanDur_S,MeanIKI,MedianIKI,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
KBI,0.10419832146514398,0.15851934146642038,0.10201680859491417,0.1830593684229992,0.16551451790011296,0.14654201931736233,0.2528266497273089,0.20845112795580742,0.1202656983603289,0.11735186523536613,0.08345767634233565,0.15289548062931013,0.2088443065582046,0.15697891762285823,0.25379614787644567,0.2123710668123194,0.12593488563848076,0.17096231446106303,0.23406608049310312,0.2260676646593088,1.0,0.8484377082934709,0.3545024564859199,0.7185406950133946,0.4929841951601239,0.7319838752726301,0.9539282954444642,-0.2151025473472766,-0.1253885850869488,0.43840696150926217,0.8167999218622883
PUB,0.15971253551592438,0.19965877490628736,0.14848499475547633,0.23852389712560806,0.16562166483100121,0.1805885221596692,0.2409361792881088,0.21154634902408898,0.16984048756173434,0.1770794819598164,0.1327193477365873,0.2104534469037438,0.2316028821805623,0.20696315668043752,0.26654023750332,0.23680995519987816,0.18184357715640073,0.236973525721552,0.24541847157797095,0.2542622286434544,0.8484377082934709,1.0,0.3163638163484892,0.5389738280444659,0.5043421059364926,0.7975877469686127,0.8447433282485597,-0.1313410558752332,-0.05353854117395366,0.5000202070261933,0.8287411224292759
MeanDur_L,0.23112904280052315,0.2850851503011997,0.2883684393064248,0.3332016504332785,0.4083400708549573,0.2661005959795932,0.5224529765067671,0.4238333805190303,0.12949119292330852,0.15390699820982987,0.08138596504301526,0.2043986114616329,0.31490995834562724,0.23498547914288934,0.33531675843377584,0.31970840365725967,0.14556796579373438,0.20065268800090527,0.2731349002395435,0.2927216544583917,0.3545024564859199,0.3163638163484892,1.0,0.3808583457004578,0.5228726890659826,0.3261678609699962,0.34900654930423697,-0.1210881908844202,-0.15747249961831805,0.10855078652333354,0.25783562915841973
MeanDur_R,-0.07004424835591587,-0.019158843099221157,-0.032686119404123325,0.04288796369318035,0.16606000365291199,0.03845278583805585,0.22250155046481415,0.15360603346923074,-0.06789845226633931,-0.06313467861013115,-0.047763134883426345,-0.014957889355311988,0.09233569141553685,-0.00837812529292667,0.1505125729709574,0.05556050165721235,-0.04925108801831949,-0.031046437398176318,0.08900188427929785,0.05216874614561716,0.7185406950133946,0.5389738280444659,0.3808583457004578,1.0,0.32710583896324,0.432089774906066,0.6772579694937911,-0.13570914166835019,-0.09516888595667919,0.2510248548334029,0.5717087799803348
MeanDur_S,0.539715306888289,0.5859124674981611,0.5878942931701282,0.6445725878238313,0.5627828845943218,0.5658329279619864,0.6945457401093617,0.6750272000992454,0.5489641734275638,0.5851541892862538,0.39550614700718695,0.5737427815989542,0.6067086952038481,0.6048148220855878,0.6117238112801512,0.6671449957922465,0.5257302871532962,0.6084593018657529,0.5880053227701898,0.6393550541466099,0.4929841951601239,0.5043421059364926,0.5228726890659826,0.32710583896324,1.0,0.4493312041645026,0.49711841349948505,0.038824562013402425,-0.059358031755560405,0.35488488214174013,0.5578802111866786
MeanIKI,0.08656636995861382,0.1023145371426389,0.13066781088543447,0.18152210365118882,0.037009795661334804,0.055659397258976895,0.13503117291139707,0.08935219534718397,0.0999172731921612,0.09474212707122943,0.08456656675326041,0.11894244062860627,0.12036980653718266,0.09508938562410447,0.20328105432225854,0.12157755970034143,0.13626502530917078,0.15103015851327503,0.13073167279171632,0.13060568131033157,0.7319838752726301,0.7975877469686127,0.3261678609699962,0.432089774906066,0.4493312041645026,1.0,0.7810943172000152,-0.045756568879785436,-0.03402657036359055,0.6174565455423596,0.7700609055713173
MedianIKI,0.12666638037205885,0.17957617721861346,0.11983709654984441,0.20185301919587603,0.19328801052193928,0.17369084930790066,0.2781260103522957,0.23224445441745195,0.14582761691554869,0.14730222599106682,0.09594627754069249,0.17028666554289387,0.235023986505396,0.1853906630956067,0.2794298217460003,0.23552535343186454,0.14752210189431317,0.1962616840409855,0.260403223679145,0.24874514070389783,0.9539282954444642,0.8447433282485597,0.34900654930423697,0.6772579694937911,0.49711841349948505,0.7810943172000152,1.0,-0.16065431057325305,-0.09446951426302287,0.47310896561584054,0.8558497145487263
GMM_Threshold_LogIKI,0.1505174003981061,0.11334333721355158,0.12454230354693678,0.12374130930163119,0.11790779403780874,0.15742181645440004,0.06048362089336553,0.11869174500638963,0.16150483635600107,0.19001150660231886,0.08339063320645149,0.10932803402381104,0.145060938640233,0.17566545510582668,0.10932623342297657,0.12655694636926773,0.1604892705408688,0.15373588895913284,0.10235619039042511,0.14715920706824376,-0.2151025473472766,-0.1313410558752332,-0.1210881908844202,-0.13570914166835019,0.038824562013402425,-0.045756568879785436,-0.16065431057325305,1.0,0.27980593706256907,0.21000470532929447,0.012195809411845412
gmm_iki_auto,-0.020972754467929008,-0.04539048123785343,-0.06313898774172708,-0.05476292371023295,-0.03418732098873169,-0.03856462006625291,-0.0483721929301355,-0.035548285006627996,-0.01653973404659765,-0.00492748793177777,0.020775369893603884,-0.015891703162617253,-0.05125477684201636,-0.03280360611108973,-0.05777684695200936,-0.03127642937909879,0.003191864160855686,-0.022846514334151077,-0.0435031305155142,-0.035614884635036995,-0.1253885850869488,-0.05353854117395366,-0.15747249961831805,-0.09516888595667919,-0.059358031755560405,-0.03402657036359055,-0.09446951426302287,0.27980593706256907,1.0,0.3680843235572319,-0.035444029986335474
gmm_iki_cons,0.14300131903511623,0.13404949039786862,0.10633096173467256,0.17360808640658001,0.09569847025395263,0.12118176601126616,0.1329261047249422,0.1249629511048123,0.1796965260880315,0.20632650546449838,0.2016777021427984,0.17220553358004193,0.17174396135246173,0.16414504223301343,0.22320593689775553,0.17211827179194408,0.2127342224390808,0.22174901526838572,0.19441455582293812,0.19926237395358204,0.43840696150926217,0.5000202070261933,0.10855078652333354,0.2510248548334029,0.35488488214174013,0.6174565455423596,0.47310896561584054,0.21000470532929447,0.3680843235572319,1.0,0.5980957995414481
Quantile_iki,0.24619839368278645,0.27972271202995486,0.1993230841361562,0.2950480899136405,0.27190162455092715,0.2870010187464587,0.3289050121673606,0.30977481162379533,0.2696068084184085,0.2911175587715409,0.1508043854692323,0.2743274414671049,0.3420145430222327,0.310957806202002,0.349894153139929,0.3223561158768362,0.2762279288100156,0.32955787259641006,0.34736861729712293,0.35748571951074776,0.8167999218622883,0.8287411224292759,0.25783562915841973,0.5717087799803348,0.5578802111866786,0.7700609055713173,0.8558497145487263,0.012195809411845412,-0.035444029986335474,0.5980957995414481,1.0
