StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
CET6-P16_T01,5.7430031878094825,6.790097235513905,6.005437589196849,0.008908686292819408,5.996750984469646,6.553933404025811
CET6-P04_T02,5.147494476813453,6.077642243349034,0.007252424272235014,0.010291725289389082,5.573796411055561,5.966146739123692
CET6-P13_T02,7.037905963447182,7.56734567601324,5.317996240175606,4.692939963408705,7.369593671624106,7.551186867296149
CET6-P17_T01,6.507277712385012,7.064759027791802,6.595744858420149,6.338114571723242,7.356416094134612,6.955335170075712
CET6-P09_T02,5.638354669333745,7.010311867307229,6.292478157828684,5.879814506348106,6.437422088243274,6.607956003294497
CET6-P11_T03,6.113682179832232,6.530877627725885,6.34440207722213,0.010180936661378868,6.77532610544871,6.553933404025811
CET6-P08_T02,6.212606095751519,6.841615476477592,6.481895991155184,6.2096614942323205,6.932825369011178,6.858039548668378
CET6-P17_T03,6.244166900663736,7.177782416195197,6.490592725155606,6.289898327001667,7.174648541418403,7.010311867307229
CET6-P22_T03,6.244166900663736,6.436150368369428,2.399650335256907,5.461895325248211,6.346234182054887,6.698268054115413
CET6-P17_T02,6.302618975744905,7.509335266016592,6.1948552360501195,6.3374279063602375,7.5446040483800445,7.189922170745808
CET6-P10_T02,6.698268054115413,7.1785454837637,6.836850474479604,6.293017767464022,7.345254847071129,7.247080584585756
CET6-P16_T03,5.793013608384144,6.905753276311464,6.007824356449562,5.95078649983959,6.399993807993585,6.597486533568617
CET6-P06_T03,5.579729825986222,6.272877006546167,6.028190954608965,6.00184585353509,7.034761390694243,6.436150368369428
CET6-P09_T01,5.583496308781699,7.077498053569231,6.294535976775422,6.0134702870350365,7.194467998695966,6.771935555839602
CET6-P20_T03,6.07993319509559,6.921658184151129,6.393411732057665,0.009658216881699678,6.441831876148625,6.7912214627261855
CET6-P11_T01,6.272877006546167,6.617402977974478,6.500825130974466,5.22847796705226,7.305944081286307,6.698576125626979
CET6-P08_T01,6.148468295917647,6.981934677156389,6.39485450355839,6.052358025366029,6.9920264639944545,6.921658184151129
CET6-P07_T02,5.966146739123692,6.508769136971682,5.7580412666136755,0.011130478085348791,6.290842886322732,6.553933404025811
CET6-P19_T02,5.883322388488279,6.530877627725885,6.1079290311522865,0.010380058010615163,6.136110708147175,6.553933404025811
CET6-P20_T01,5.966146739123692,6.638567789166521,6.127791222596706,5.967893222238752,7.19711332880945,6.618738983517219
CET6-P20_T02,6.0063531596017325,6.699500340161678,6.195839181408667,6.109050265420054,7.275925747697764,6.679599185844383
CET6-P09_T03,5.638354669333745,6.806829360392176,6.2865769756681855,5.935725043918973,7.150573430446023,6.638567789166521
CET6-P07_T01,6.07993319509559,6.302618975744905,3.5478874119151174,3.8824352347496847,6.5234721379377865,6.532334292222349
CET6-P14_T02,5.313205979041787,7.010311867307229,5.829575785691702,5.702950574263139,6.794944136473153,6.484635235635252
CET6-P14_T03,5.231108616854587,6.639875833826536,6.081880495817695,5.605105709548921,6.691439119279397,6.385194398997726
CET6-P01_T01,5.455321115357702,6.302618975744905,5.682483882900856,5.692775069568997,6.375296517712094,6.410174881966167
CET6-P06_T02,5.7899601708972535,6.274762021241939,6.060721539969643,0.009577436175095787,6.086241002183495,6.576121136936073
CET6-P14_T01,5.236441962829949,6.716594773520978,5.768439488068045,5.557828872197055,6.745547911826257,6.410174881966167
CET6-P19_T03,5.966146739123692,6.359573868672378,6.450736426380564,5.8325891302935595,7.065163255111302,6.484635235635252
CET6-P08_T03,6.148468295917647,7.177782416195197,6.498058391094906,4.44073280813143,7.824356444947643,6.917932332775485
HLR13-P02_T3,5.049856007249537,5.7430031878094825,5.6551903189456185,5.257615145229938,5.981745842209124,5.69035945432406
HLR13-P02_T2,5.049856007249537,6.244166900663736,5.446940378099271,5.154200618323358,5.5905526067540094,5.718367663306092
HLR13-P02_T1,5.14166355650266,5.926926025970411,5.568011786946434,5.230386817176246,6.6207442456377334,5.6937321388027
HLR13-P03_T1,5.147494476813453,5.579729825986222,5.429768585025792,5.33026584553488,5.960117326036928,5.521460917862246
HLR13-P03_T3,5.147494476813453,5.634789603169249,5.441867874920382,4.845873914785212,5.723554610905158,5.455321115357702
HLR13-P01_T3,5.049856007249537,6.618738983517219,5.563708222498676,5.332873188317918,6.50281094847677,5.521460917862246
HLR13-P03_T2,5.231108616854587,5.517452896464707,5.720513851016177,5.227229953038874,5.856685929900085,5.596319632378586
HLR13-P01_T1,4.948759890378168,6.411818267709897,5.666159550397362,5.505293839520432,6.624519577836999,5.583496308781699
HLR13-P01_T2,5.049856007249537,6.244166900663736,5.510729192731347,5.120805110231311,5.891756361165872,5.521460917862246
HLR13-P05_T2,5.517452896464707,6.436150368369428,6.87451869500514,5.401201640473937,6.583830548917123,6.042632833682381
HLR13-P05_T1,5.455321115357702,6.57507584059962,6.776853577691462,5.456203130342599,6.6434131553319125,6.182084906716632
HLR13-P04_T1,5.14166355650266,5.7430031878094825,5.733666845215205,0.009729727369974992,6.125671116077181,5.638354669333745
HLR13-P04_T2,5.049856007249537,5.793013608384144,6.374775124347717,5.383228284220153,6.749794797853431,5.579729825986222
HLR13-P05_T3,5.579729825986222,6.436150368369428,6.704710492961629,5.443060006598116,6.801813541690687,6.197345501234075
HLR13-P04_T3,5.049856007249537,5.638354669333745,6.11371383661186,4.879960907536919,6.069002939068416,5.521460917862246
KTHJ08-P17_T2,4.820281565605037,5.3471075307174685,5.520960904952171,5.0093644378783315,6.07818617637012,5.327864386201888
KTHJ08-P14_T1,4.852030263919617,5.313205979041787,5.215905239321775,5.04032527270994,5.530566091566468,5.447812642141157
KTHJ08-P05_T3,5.247024072160486,5.8998973535824915,5.411744532725269,4.445138240391826,5.940449095818598,5.695412812654052
KTHJ08-P11_T3,4.927253685157205,5.181783550292085,5.156502275566069,4.768678415868936,5.444959762739547,5.2832037287379885
KTHJ08-P23_T1,5.043425116919247,5.393627546352362,5.5634548212463875,5.308360319544158,6.098281725209873,5.529429087511423
KTHJ08-P10_T2,5.043425116919247,5.298317366548036,5.356586133919421,4.823087694405084,5.374951564624397,5.3612921657094255
KTHJ08-P11_T2,4.948759890378168,5.2574953720277815,5.337193474074683,5.68468969192547,6.988714678949344,5.30080488722543
KTHJ08-P13_T1,4.955827057601261,5.081404364984463,5.077388547098435,4.850977618777197,5.357470616697678,5.3435275716529755
KTHJ08-P02_T3,4.897839799950911,5.973809611869261,5.509672776581956,5.255016465540862,6.006518939613914,5.545177444479562
KTHJ08-P19_T3,5.135798437050262,5.493061443340548,5.845215568174302,4.899764297191548,5.900017466675708,5.5053315359323625
KTHJ08-P13_T3,4.875197323201151,5.204006687076795,5.085811406296437,4.94670000497165,5.3799896996394025,5.356586274672012
KTHJ08-P23_T3,5.043425116919247,5.60947179518496,5.511703657982906,5.4431382380433195,6.304589680637342,5.560681631015528
KTHJ08-P14_T2,4.812184355372417,5.3612921657094255,5.231158318931762,4.8859156415395555,5.663943788287275,5.384495062789089
KTHJ08-P12_T2,4.875197323201151,5.4680601411351315,5.73310047351057,4.6739257564673755,5.701602821496174,5.337538079701318
KTHJ08-P23_T2,4.912654885736052,5.43372200355424,5.474366359246112,5.318085123014446,6.222328423968557,5.442417710521793
KTHJ08-P21_T1,5.087596335232384,5.529429087511423,5.335685186810789,4.58305091407804,5.594029066820195,5.56259734920192
KTHJ08-P07_T1,5.111987788356544,5.749392985908253,5.894487913763728,5.463631470102815,6.486690186697491,5.703782474656201
KTHJ08-P18_T1,4.77912349311153,5.43372200355424,5.470395873549048,4.9253619522289185,5.702299514119819,5.236441962829949
KTHJ08-P11_T1,4.948759890378168,5.4510384535657,5.224812433420208,5.057292403038781,5.555894693244186,5.389071729816501
KTHJ08-P10_T1,5.081404364984463,5.332718793265369,5.430107733782595,5.252250336205197,5.7403345104402215,5.494088138828712
KTHJ08-P15_T2,5.117993812416755,6.111467339502679,5.71425227469478,5.666346589067038,7.123578345649108,5.752572638825633
KTHJ08-P03_T3,5.420534999272286,5.910796644040527,5.5624897964007705,4.958087080684576,5.816230858456397,5.830414047446862
KTHJ08-P01_T2,4.912654885736052,5.37989735354046,5.367399591857806,4.851205846598258,5.72306327561149,5.429345628954441
KTHJ08-P17_T3,4.852030263919617,5.726847747587197,5.191076804252959,4.7964304380037435,5.546121903752498,5.3981627015177525
KTHJ08-P10_T3,5.111987788356544,5.342334251964811,5.397687483604729,5.045168228428333,5.495022537640372,5.4542504499097015
KTHJ08-P13_T2,4.736198448394496,5.056245805348308,5.0278737538486915,4.749136762463493,5.515814853132419,5.247024072160486
KTHJ08-P19_T1,5.1298987149230735,5.680172609017068,5.746833898999365,4.937707798160665,5.745886582202091,5.594711379601839
KTHJ08-P05_T1,5.288267030694535,5.652489180268651,5.554526926501765,5.450696555589203,5.908778836829542,5.607636930740479
