StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI
KTHJ08-P19_T3,5.135798437050262,5.493061443340548,5.845215568174302
KTHJ08-P13_T3,4.875197323201151,5.204006687076795,5.085811406296437
KTHJ08-P23_T3,5.043425116919247,5.60947179518496,5.511703657982906
KTHJ08-P14_T2,4.812184355372417,5.3612921657094255,5.231158318931762
KTHJ08-P12_T2,4.875197323201151,5.4680601411351315,5.73310047351057
KTHJ08-P23_T2,4.912654885736052,5.43372200355424,5.474366359246112
KTHJ08-P21_T1,5.087596335232384,5.529429087511423,5.335685186810789
KTHJ08-P07_T1,5.111987788356544,5.749392985908253,5.894487913763728
KTHJ08-P18_T1,4.77912349311153,5.43372200355424,5.470395873549048
KTHJ08-P11_T1,4.948759890378168,5.4510384535657,5.224812433420208
KTHJ08-P10_T1,5.081404364984463,5.332718793265369,5.430107733782595
KTHJ08-P15_T2,5.117993812416755,6.111467339502679,5.71425227469478
KTHJ08-P03_T3,5.420534999272286,5.910796644040527,5.5624897964007705
KTHJ08-P01_T2,4.912654885736052,5.37989735354046,5.367399591857806
KTHJ08-P17_T3,4.852030263919617,5.726847747587197,5.191076804252959
KTHJ08-P10_T3,5.111987788356544,5.342334251964811,5.397687483604729
KTHJ08-P13_T2,4.736198448394496,5.056245805348308,5.0278737538486915
KTHJ08-P19_T1,5.1298987149230735,5.680172609017068,5.746833898999365
KTHJ08-P05_T1,5.288267030694535,5.652489180268651,5.554526926501765
KTHJ08-P14_T3,4.844187086458591,5.393627546352362,5.434377845170321
KTHJ08-P08_T2,4.890349128221754,5.6240175061873385,5.190623016498732
KTHJ08-P09_T2,4.927253685157205,5.5093883366279774,5.305099804547722
KTHJ08-P24_T1,5.017279836814924,5.955837369464831,5.598368876985511
KTHJ08-P09_T1,4.976733742420574,5.5134287461649825,5.555315469798822
KTHJ08-P22_T2,4.812184355372417,5.170483995038151,5.102047218200145
KTHJ08-P17_T1,4.867534450455582,5.25227342804663,5.242789397503625
KTHJ08-P16_T1,4.990432586778736,6.095824562432225,5.40737603035393
KTHJ08-P04_T3,5.0369526024136295,5.43372200355424,5.441487128298316
KTHJ08-P20_T2,4.852030263919617,5.267858159063328,5.15207702584938
KTHJ08-P04_T2,4.955827057601261,5.455321115357702,5.565824159468285
KTHJ08-P21_T2,5.111987788356544,5.5909869805108565,5.378804946303527
KTHJ08-P12_T3,4.955827057601261,5.5093883366279774,5.41122069217994
KTHJ08-P22_T3,4.962844630259907,5.537334267018537,5.5159457327147905
KTHJ08-P07_T2,5.087596335232384,5.780743515792329,5.7460394849116385
KTHJ08-P01_T3,4.955827057601261,5.488937726156687,5.210872531935346
KTHJ08-P18_T2,4.762173934797756,5.3612921657094255,5.400160305455634
KTHJ08-P06_T1,5.056245805348308,5.82600010738045,5.503479107452408
KTHJ08-P15_T3,5.147494476813453,6.285998094508865,5.798097634801902
KTHJ08-P19_T2,5.087596335232384,5.627621113690637,5.880869049362075
KTHJ08-P08_T3,4.90527477843843,5.572154032177765,5.282340546790272
